Respondent,Why didn't get booster,why_not_booster_1,why_not_booster_2,why_not_booster_3,Why public health scientists reliable or unreliable,why_scientists_reliable_unreliable_1,why_scientists_reliable_unreliable_2,why_scientists_reliable_unreliable_3,Why CDC changed recommended isolation period,why_isolation_change_1,why_isolation_change_2,why_isolation_change_3
1721089839,__NA__,,,,i have no idea,99,,,because they are unsure,98,,
1721137395,__NA__,,,,What they say confirms the data I see.,05,,,Evidence,01,,
1721195185,__NA__,,,,Basically every public health scientist in the world is focused on a single issue.,98,,,Scientific and economic reasons,01,05,
1721206009,__NA__,,,,They can only do the best they can with limited information.,04,,,It was the right thing to do.,01,,
1721137377,__NA__,,,,"Public health scientists are working daily to keep up with tidal waves of information so they can present what seems the most relevant and helpful at the time. As they learn more, they correct or adjust guidance based on evidence (e.g., masking works). It's frustrating and confusing when things changes dramatically, but following the science is how we get out of this.",04,,,I think it should be a 7-day minimum (days 0-6) with two negative RATs on days 5 and 6 or later after the minimum.,98,,
1721299435,__NA__,,,,Too many different statements by CDC.,13,,,"No one knows. Unfortunately, CDC is causing many to doubt that the information presented by the President, Fauci, or others is meaningful.",97,,
1721149407,Tested positive for Covid on Christmas morning. Received monoclonal antibodies in January. Must wait 90 days for booster.,21,10,,"They are the experts. That’s why they were hired, to protect the public. It certainly isn’t the money driven.",02,21,,CDC is learning just like the rest of us. Their job is not to make life harder for us. They have the science to back up their decisions.,01,,
1720947895,__NA__,,,,Follow the money,98,,,Public resistance,08,,
1721521105,__NA__,,,,Not sure,99,,,Not sure,97,,
1721438209,Inconvenient procedure.,07,,,"These are professionals in the medical field, not politicians.",07,,,I suspect it is based on data which I do not have.,01,,
1721683875,__NA__,,,,no comment,99,,,new data collected,01,,
1721471609,__NA__,,,,I am a former medical professional and do believe in the science behind Covid information.,04,,,Maybe new things have come to light since the original recommendations were put out.,01,,
1721384955,__NA__,,,,"These people are doing the research, they know this disease, what choice do we have? we have to trust them",02,03,,Because they know much more about this disease than they did,01,,
1721728945,__NA__,,,,"Because despite inevitable uncertainties, they have devoted their careers to study of public health and disease. Epidemiology. If someone like trump returns to power however, the structure may be destroyed and become worthless.",02,,,Concern over functioning of society,05,,
1721078837,__NA__,,,,They're not following the science,11,,,Pressure from the public,08,,
1721246505,__NA__,,,,Well educated experienced medical professionals working for the common good,02,21,,As time goes on they gather more data which modifies guidance,01,,
1721590445,__NA__,,,,"They tell the truth, are trained and work to protect public health.",01,02,,More knowledge of COVID. It's been 2 years.,01,,
1721137383,__NA__,,,,Public health scientists know what they are talking about! They are the professionals.,02,,,they are afraid of the US economy. This change is dangerous.,05,,
1721328203,__NA__,,,,They use scientific data from proven trusted sources.,04,,,Perception of increased vaccine effectiveness and plateauing cases.,13,08,10
1721108471,__NA__,,,,I believe that they are guided by facts and have kept the public informed during this pandemic despite the toxic lies spewed by politicians and talk show celebrities.,01,05,,"More people have been vaccinated, scientists have been able to evaluate just how long infection can develop in people . New information is constantly emerging and scientists are able to understand the virus much better now than when it first began.",01,10,
1721471605,__NA__,,,,I have a masters degree in science. I understand scientific methods and believe in science.,04,,,"Science backed it up, psychology suggested it would be easier for people to do.",01,,
1720947681,I believe that natural immunity is better. There are too many unknowns about all the covid vaccines.,20,09,,I believe that the scientists are motivated by profit rather than concern. We've heard so many instances of conflicting information.,13,,,Because they now understand they were wrong initially.,01,,
1721498889,__NA__,,,,Studies,04,,,Science,01,,
1721108479,__NA__,,,,It’s accurate and devoid of the false claims that are out there,09,01,,Public pressure.,08,,
1721407271,__NA__,,,,They never tell you everything they just do what the government wants,10,,,Don’t know nothing they do or say makes any sense,04,97,
1721521099,__NA__,,,,they only report what they are told,01,,,I'm not sure,97,,
1721994411,__NA__,,,,They are scientists and know better.,99,,,So that people can go back to work,05,,
1721471613,__NA__,,,,They are trained and paid to tell the truth as they know it.,01,02,,Maybe herd immunity due to so many already vaccinated? Also the Omicron version appears less dangerous.,02,10,
1721078843,__NA__,,,,"I trust science,and the present administration.",04,98,,Bending to political pressure,06,08,
1721438203,__NA__,,,,Because I believe scientists are in their job to help people figure out how illness can be safely treated and to save lives. As we all know science is not a perfect thing and mistakes can be made. I believe they are doing the best to their knowledge that they can do.,21,01,03,Because they have been going over the data and it shows there is no longer a need for such a long isolation period. Scienctists are learning more and more every day about how covid affects people and how vaccinations are helping to keep the people alive and from getting as sick and needing the hospital. This is awesome and amazing gains for everyoone in the world. If people only looked at it with the view of every season we need to get flu shots to prevent us from getting the flu so why is it such a big deal to the same to prevent from getting covid? Its simple very simple if people would stop making it about other things and just do the right thing and get vaccinated.,01,10,11
1722066935,it' not 6 months yet untill 2/28,21,,,too politiical,10,,,no idea,97,,
1721623769,__NA__,,,,no,99,,,don't know,97,,
1721994417,__NA__,,,,"They are basing their reports on science. At times, they have had to revise, but that shows they're following science.",04,01,,To help. the country run more easily,98,,
1722099011,__NA__,,,,Some people have other agendas,20,,,People need to work,05,,
1722115355,__NA__,,,,They all seem to have a political agenda and their measures have been proven not to be effective but they still push them on the Public.,20,16,19,Because true experts in the field are reporting that quarantines are not effective and actually cause more harm than good and the CDC is trying to slowly get out of the corner they have painted themselves into.,04,,
1721207737,__NA__,,,,I trust scientists. They know more that the general public.,03,02,,so as not to have a large effect on the workforce especially health workers. Back to work quicker.,05,09,
1721328195,__NA__,,,,trust science,04,,,experience,99,,
1722122907,__NA__,,,,They have the scientific evidence to back what they say,04,,,Because it is less risky because you are isolated from others and the virus is contained,98,,
1722100567,__NA__,,,,"Their job is to identify health issues, and to find a way to lessen risk to others in the community. It is their job!",02,21,,"They have researched the data and have studied the virus longer, and have a better understanding of the transmission caracteristics.",01,,
1721137385,too many people get sick when they get the booster and I don't think is has that much protection against Covid.,06,15,,way to much publicity from the feds and state politicians. They make statements and then change them as time goes on,13,98,,employers were losing their employees and the economy was slowing down costing a lot of money being lost in the private sector such as taxes and materials becoming a shortage.,05,,
1721918833,My area hasn’t come out with a j&j booster and I don’t wish to cross with another type of booster,98,,,The leaders of cdc and head of health advisers in my state of Rhode Island have quit their jobs definitely not a positive ign,98,,,To keep people working and the economy from weakening again,05,,
1721328201,__NA__,,,,CDC has 50000 version which keep changing,13,,,very typical,98,,
1721918835,__NA__,,,,"As science evolves, information presented to the public changes- which is to be expected.",04,,,Because people were tired of the longer isolation and the CDC was getting backlash.,08,09,
1721773091,__NA__,,,,Public health scientists have everything to gain and nothing to lose by being completely honest about these things.,01,,,"As time goes on and people at least adjust to Covid and, at the same time, the CDC becomes more knowledgeable about the virus the CDC then becomes more comfortable about adjusting theur own recommendations.",01,,
1722182667,Haven’t seen out of my house,98,,,Because they are all leaving,98,,,The states need to get people back to work,05,,
1721327775,__NA__,,,,I think there's a whole hidden agenda behind this illness,20,,,They probably realized that 5 days was enough,01,09,
1722069663,__NA__,,,,not enough is known about it. vaccines came to quickly,11,98,,so the companies can make more money and give more control over our live to the government,05,14,
1720086091,__NA__,,,,Flip flop Fauci,99,,,Citizens are getting angry,08,,
1721354321,__NA__,,,,because of conflicting info,13,,,people were not obeying the 10 day mandate,09,,
1721732957,__NA__,,,,"It may not always be clear, but at least they look at the data",02,04,,For businesses to get employees back,05,,
1721283137,__NA__,,,,Generally they are a concensus of results of testing meaning they agree with each others findings.,98,,,It should at least cover the amount of time for exposure to the disease to show if it will make people sick.,98,,
1722223881,__NA__,,,,N.a,99,,,N.a,99,,
1722220715,I had severe reactions to both of the initial vaccines. I am still dealing with the side effects. It's been almost a year now.,13,02,,It's hard to trust what the experts are saying when it been proven that officials have lied to the public about Covid 19. Everyone seems to have an agenda.,10,20,,Because they made up the ten day rule and realized it doesn't make a difference it the overall outcome.,04,,
1721658091,__NA__,,,,Too many changes and not enough discussions for both pro and con discussions. Too political.,13,10,,They are learning as well. That is what science is. Too much political BS.,01,,
1721283139,__NA__,,,,honest,01,,,based on science,01,,
1721438201,__NA__,,,,They have access to verifiable data.,04,,,Pressure from businesses.,05,08,
1722208829,__NA__,,,,People like Fauci have flip flopped all over the place since this started. The rules do not apply to politicians. It's complete bullshit.,13,,,Yes and recomend they change a lot of things. The CDC should have 0 power over we the people. Nor should they make the money they do.,03,,
1721552533,__NA__,,,,Too many drastic changes in information. Vague numbers. Counting people who tested positive for COVID in their data as having died from the virus when they actually died from other issues.,13,16,,None,99,,
1722284471,__NA__,,,,They never tell you everything,10,,,Don’t know why they do anything they fo,97,,
1722293647,__NA__,,,,There are too many uncertainties regarding the disease,11,,,To alienate people less than they already have,03,,
1721553853,__NA__,,,,I qve read the data behind the studies.,04,,,The latest varients are spreading earlier and more easily. Testing after the 5 th day will determine yourvoral loadand whether or not you should continie to isolate for a longer period of time.,01,02,
1722292185,I got my j&j shot for my family's health someone was sick and my family and I am waiting for the booster,21,,,I'll take doctor felch's word he been working on viruses his whole life,05,02,,Because the Republicans would cry,08,,
1722302319,Just haven't had time yet,07,,,Because I live in reality and understand how a virus is spread,98,,,Because each different variant will require us doing different things,02,,
1722306889,__NA__,,,,I trust in their credentials and the institutions they come from. They are highly reputable and I understand that science advances as we obtain new information.,02,04,03,Because businesses couldn't accommodate the reduction in the workforce.,05,,
1722307165,__NA__,,,,"The devote their lives to science and public health, swearing an oath to protect the human population.",21,,,I think the cdc has changed it’s isolation period because this virus is ever-changing and we are learning about it with more and more research and time passed.,01,,
1722307425,I got sick as a dog with horrible body aches when I got the first 2 shots and am not looking forward to that again.,02,14,,"They're out to ""make a buck"" more than my own doctor so I only somewhat trust what they say.",20,,,They're able to get more of a handle on it and therefore it's not as serious as it was in the beginning plus more research hasbeen done on covid.,13,01,
1722317465,Haven’t contracted Covid since the start of the pandemic and have known several people to get sick with positive tests after receiving the booster. I am vigilant in cleanliness and will continue to practice social distancing,11,06,,"I don’t believe there has been research conducted over a long enough period of time to fully know the extent of Covid, vaccinations and it’s treatments.",98,,,Received more data from testing,01,,
1720969377,there is a lot of misinformation about it and Dr. Fauci is not telling the truth about the pandemic,19,,,They are not consistent with their opinions,13,14,,"Because they don't even know the meaning of what is right and what is wrong, as Dr. Fauci is most of the time Flipflopping",04,,
1722308783,__NA__,,,,Because they study the science of the disease!!,02,,,Probably to help the economy,05,,
1722156315,"I’ve had the vaccine, plus two bouts with covid, which is basically a cold on steroids. I am not concerned.",01,12,,Positions changes daily.,13,,,Because they have no idea.,04,,
1722310357,__NA__,,,,Na,99,,,Na,99,,
1722331095,__NA__,,,,Most stories are accurate but there is some false statements,16,05,,More studies have been completed.,01,,
1722330991,__NA__,,,,"No I can't, because I don't know why.",99,,,Because people are getting tired of the old rules.,08,,
1722336247,__NA__,,,,Everything is a practice you have to look at not just one source for information we are all learning about this we all need to keep an open mind about all new treatments,98,,,Because omicron was less serious,02,,
1722336491,Because when I was due for the booster I came down with the coronavirus. Check with my primary doctor and he said to wait 60 to 90 days and get a booster if the virus starts to spike demographically,18,21,,Scientific data usually comes from a conclusion of tests however I don't believe that we've had enough time to test the virus,98,04,,Because the science has said that the incubation period could be shorter,01,,
1722359995,__NA__,,,,"I trust the experts- doctors, CDC, hospital, clinic and ER physicians.",02,03,,"The science supported it, and the need to get people back to work more quickly, especially in the health care field.",01,05,
1722026155,__NA__,,,,"I'm assuming that being scientists, they've been studying this.",02,,,Because it used to be longer.,09,,
1722362725,__NA__,,,,"First and foremost, medicine is not an exact science and information is changing all the time.",04,,,Maybe as an incentive to get more people vaccinated. I still don't think 5 days is long enough because new studies don't support this.,98,,
1722315541,not really,99,,,no,99,,,i just believe that they probably thought their decision was a good one,98,,
1722069653,__NA__,,,,"Of course, they have worked with many types of stains and are extremely smart.",02,,,This was new to us all. At first I am sure they prolongs it to keep us safe. Now that they had time to study the effects and symptoms.,01,,
1721407261,__NA__,,,,They keep things from everyone,10,,,Because more people have gotten the shot,10,,
1720421313,__NA__,,,,I onky believe they are getting thier main information from one source Dr.Fauci and I think they are limited on telling the public all aspects of information.,10,11,,I think they changed so more people could get back to work and the economy doesn't get shut down again with mass unemployment.,05,,
1722357541,I Don't think it is necessary,20,,,I think it is reliable,03,,,,99,,
1722364735,__NA__,,,,Not consistent,13,,,It was too long,09,,
1722371081,__NA__,,,,"Because they are following the science, not conspiracy theories and random crap found on social media.",04,,,To help industries with staff shortages and because there are many places that have a higher percentage of vaccinated people.,05,10,
1721494581,__NA__,,,,not being truthful,10,,,to get people back into the workforce,05,,
1722371547,__NA__,,,,We trust them on everything else why wouldn’t we on Covid-19?,03,,,Because they understand more after 2 years about transmission and as vaccinations %go higher that has an effect on isolation with breakthrough cases,01,10,
1722255045,Don't know if it is needed.,20,,,It should be they are scientists.,03,,,I'm not 100% sure?,97,,
1722374161,It interferes with my job right now I have wait till I not working for 90 days,21,15,,Because they are trying to help the public,21,,,Pressure from the government,06,,
1722026153,__NA__,,,,BECAUSE THEY ARE LYING ABOUT THE PANDEMIC,10,,,"CDC CANT BE TRUSTED,THEY ARE CONSTANTLY CHANGING THEIR STORIES",03,14,
1722374669,__NA__,,,,"Because no one really knows the long terms affects, since this disease is still fairly new.",11,,,I think they did because they were getting overwhelmed with the amount of people getting the virus. The schools were getting overwhelmed with having so many students and staff members out for that time period they first had.,98,,
1722380751,__NA__,,,,They have science degrees and doctorates and know what they're talking about,02,,,To keep the economy going,05,,
1722371511,I want to get it but I don't think it is so necessary,20,,,because they are trusted people and they know exactly their work,03,02,,"I think five days is not enough , they will keep carries of coronavirus after this period",98,,
1722305159,I was told i had to wait 6 months. It has not been 6 months yet,21,,,I dont know,99,,,Thats what they say so they know,99,,
1722380887,__NA__,,,,I find them reliable but change guidelines often,03,13,,So it wouldn’t hurt the economy,05,,
1722136279,__NA__,,,,I do not trust them.,12,,,It was to long to start with.,09,,
1722383569,__NA__,,,,I don’t have any reason to doubt the reasons of those scientists.,03,,,The virus has mutated. The incubation period is shorter. We know more about the disease process.,02,01,
1722384205,__NA__,,,,I trust the science,04,,,To get people back to work sooner,05,,
1722384781,__NA__,,,,"They have training and expertise in public health, and can provide unbiased facts about pandemic related issues.",02,01,,Because a lot of the general public seemed intolerant of the full quarantine recommendations and this seemed like a compromise.,08,09,
1722384691,__NA__,,,,You must follow science when research is being done for a virus that has created a pandemic,04,,,Due to lack of staffing in health care settings,98,,
1722384119,__NA__,,,,hopefully they are fully informed,02,,,people were complaining,08,,
1721918837,__NA__,,,,"If we cant believe them & their guidance, who can we believe ?",98,,,I suppose they feel 5-days is long enough for Covid to be gone and that 10-days was too long,98,,
1722069649,__NA__,,,,I pretty much trust the information they're providing,03,,,Because of the vaccinations,10,,
1721994427,__NA__,,,,It's their jobs to be informative to the people.,03,02,,Don't know. Too much pressure from everyone.,97,08,
1722391765,__NA__,,,,They are educated and trained for these medical issues,02,,,So we can try to get back to a more normal life,98,,
1722380615,Because I have anxiety to leave my house,98,,,because I don't trust the government 100%,08,,,capitalism,05,,
1721381789,I haven't had the chance to yet,07,,,I dont have reason to disbelieve it,03,,,I have no idea,97,,
1722404927,__NA__,,,,great and helpful to stay safe,02,21,,new research and informaiton,01,,
1722402273,__NA__,,,,NA,99,,,Disease didnt change much changind the dates make no sense,04,,
1722405099,__NA__,,,,they say what they know. As they learn more from the statistics they change what they say.,01,02,04,historical information that has been collected as more people get the disease,01,,
1722402407,__NA__,,,,Everything they tell you to do or not do has changed over 100 times. People wearing masks get sick and people vaccinated get sick.,16,13,,I think they changed it just because they wanted to. They don't seem to know what they are doing. But they like to have control over it all.,04,03,
1722405343,__NA__,,,,Who’s to know. They are still learning from the virus and it’s still unknown about the covid-19 virus. Still trying to understand it.,11,,,"Do know. Maybe it’s not as contagious now due to herd immunity. But with open borders abs more people coming in to this country unvaccinated or not tested , this virus can keep spreading",97,10,
1722393629,I just haven't felt like going to get one,98,,,I am not sure who to really trust,98,,,To help keep people safer,98,,
1721773099,Do not want to,98,,,There is an abundance of over reaction,11,,,Random,98,,
1722434939,Got covid pneumonia right before time to get so an told wait 3months by dr,21,,,They are making progress,98,,,Idk,97,,
1722428367,__NA__,,,,I believe there is some truth to what they say but I also think they are trying to sell more medication so they fib a little,20,01,,I think they changed it because a lot of people complain about being inside for a long period of time especially alone.,08,,
1722438061,__NA__,,,,because they are the trained professionals,02,,,because people are still contagious,98,,
1722438011,__NA__,,,,they are over obsessed,98,,,they keep changing the rules,99,,
1722437933,__NA__,,,,They have science to back up the data,04,,,People were not cooperating,08,09,
1722438803,I am travelling in to others country. That's why I can't get the booster dose.,98,,,I think we need more health service. Now the public health service now very nice.,99,,,I prefer of that.,99,,
1722448551,__NA__,,,,I feel like the information given changes and contradicts itself often which makes it hard to trust.,13,12,14,To try to get people back to work faster and repair the economy.,05,,
1722196293,I should have not gotten the 2 that I did get - something has happened - I no longer have any energy - no longer want to do anything- can no longer think the simplest thing through - am tired and sleepy all the time and have to sleep 2 to 4 hours in the afternoon everyday. I was not like that before those shots !,02,13,,They lie,10,,,"Who knows, including them!",97,04,
1722449261,__NA__,,,,"Because I think there has been a lot of confusion. One scientist says this, another says that.",14,13,,Because I think 10 days was too long. And people I know who quarrantined felt better in far less than 10 days,09,,
1722460031,__NA__,,,,The media and experts are blowing everything out proportion to brainwash and confuse the media,10,,,beacuase they are lying about it all,03,15,
1722472023,__NA__,,,,"science always changing, rush to make a statement",04,,,"People whining, employers complaining about expense due to sick time, decreased productivity, lack of employees",08,05,
1721468765,__NA__,,,,I don’t know,99,,,Not too severe,11,,
1722479039,__NA__,,,,"I think they're telling us what is known, but the science is evolving and therefore recommendations often change.",01,04,,They are concerned with economic impacts of too many people out sick from work.,05,,
1722478993,I'm not due for it until the end of February,21,,,Scientists have the correct information. I don't get my Covid information from Fox or Newsmax,02,09,,the new variant is more mild,11,,
1722494061,__NA__,,,,They know what they're talking about they went to plenty years of school,02,,,Because they're always finding out new things,01,,
1722490259,The booster is still ineffective against all covid-19 variants,17,,,Not enough testing has been done and noone will show actual results,98,,,They are still learning about the covid 19 disease,01,,
1722388665,__NA__,,,,"A great amount of peer-reviewed research is publicly available, and produced under controlled situations.",04,,,Political pressure and realistic expectations.,06,08,09
1722483153,my next apointment is on feb 21,21,,,"Science save lives. Scientific data is far more reliable than the words of politicians, preachers, and pastors.",03,04,08,Because science is about facts and evidence. The CDC duty is to inform the public and make recomendations based on science best practice for the good of all.,01,,
1721959457,__NA__,,,,there smart,02,,,got less strong,11,,
1722505479,__NA__,,,,I think they tell mainly truth but I think there is a lot of stuff they don't tell the public,01,10,,I not sure before in my state is was 14 days now it is at 5 days but now we have the new strain of COVID-19 u would think they would up the isolation period if it is still dangerous to people like they claim,97,,
1722544179,__NA__,,,,Because a lot of them just have no clue!!,11,,,Because they really don't have a clue!!,04,,
1722266185,I have had to wait for the 6 month mark after my second vaccine and that has just passed at the end of January.,99,,,They have a moral obligation to say the truth.,01,21,,I have no idea.,97,,
1722559377,__NA__,,,,no comment,99,,,who knows... tomorrow it could be something else. evryday seems to be a new thing,97,,
1722572187,I actually have an appointment to get it tomorrow,21,,,I just believe in the system,04,,,I’m really not sure,97,,
1722026143,__NA__,,,,"They are trying their best for accuracy, but even they don't know the full scope of the varience of this virus. It's too new!",21,11,,In order to protect others from contracting the virus.,98,,
1722619639,__NA__,,,,O dont trust,12,,,Unsure,97,,
1722589995,__NA__,,,,Because the virus is affecting less people bad of today,98,,,After research a few people,01,,
1722619631,I hate needless,98,,,They lie area 51,10,,,They had issues,99,,
1722619703,__NA__,,,,I think the facts and the numbers provide the reality of what’s going on with this pandemic,04,,,The transmission period maybe and further research. I also think the advanced stages of the vaccine has helped.,01,10,
1722612563,__NA__,,,,"Because they are constantly doing research and keeping track of infections, deaths, variants, remedies, etc.",02,01,04,"Because people will not sit still as long as they should, so 5 days is better than nothing.",09,,
1722635139,__NA__,,,,I do not trust them,12,,,no idea,97,,
1722627691,I do not want to put anything else into my body.,98,,,"At first I thought they were very reliable, but now they are saying the people that have passed away in hospitals that did not have Covid they were listed as a Covid death. You just don’t know who and what to believe in this corrupt government",98,13,,"Who knows??? It keeps changing day by day, week by week, etc",97,,
1721590461,__NA__,,,,They have the studies,02,,,Isk,97,,
1722378259,__NA__,,,,It’s all political,98,,,Don’t know ! They,97,,
1722643369,not due for a booster yet.,21,,,No one really knows the truth. The stories change every day,13,,,public opposition,08,,
1722651503,__NA__,,,,brown university dean was dr at who,05,,,dont know,97,,
1722666419,__NA__,,,,Because they are experts in health issues,02,,,Because people need to get back to work and/or school. It’s hard to keep the world running when everyone has to stay at home for ten days,05,,
1722666537,__NA__,,,,There are still alot of unknowns about the virus,98,,,they have the research,01,,
1722666995,__NA__,,,,"it's constantly evolving so what's accurate now may not be in a short time, sort of like the information that was disseminated at the beginning of the pandemic",04,,,"backlash and impact on the economy, education of children, and people's mental health",08,05,
1722667773,__NA__,,,,They are the experts and have medical degrees and I do not. The science for the vaccine is not new.,02,04,,Companies were becoming impatient and wanted the CDC to change it for convenience.,05,,
1722667001,I am getting tire of all this craziness. I got sick with covid after 2 shots. I am not sure what to think anymore.,05,09,,"There is so much conflicting information, It depends on which network you watch. Real science is telling us different facts then the media and politicians.",14,,,They shortened the isolation period but we need to get back to work and back to normal,05,,
1722671617,It didn't work,05,,,They don't know,11,,,Be it'd growing,99,,
1722682889,__NA__,,,,Nothing is consistent with what public health scientists say.,13,,,Because more people are vaccinated,10,,
1722683261,__NA__,,,,n/a,99,,,n/a,99,,
1722682925,__NA__,,,,Sometimes they contradict themselves. They talk in absolutes.,13,,,I think cdc realized that many people just were following their guidelines.,98,,
1722698127,__NA__,,,,They have been wrong more times than being right,16,,,Follow the science,01,,
1722697877,__NA__,,,,They do studies and research so they know,04,02,,Research,01,,
1722693657,__NA__,,,,They are paid to do and say what they are told,20,,,I don't know,97,,
1722698805,__NA__,,,,The information is based on the most up-to-date science. It is nuanced and is not political in nature.,04,07,,The science reflects this as a good policy. It also reflects the need to have some type of normal life.,01,98,
1722698709,__NA__,,,,They flip-flop consistently. promote lock downs and masking always,13,,,because they really don't know!,04,,
1722698963,Because people are getting infected with Covid even though they are vaccinated so I don't see a point,06,,,Because the vaccines don't protect against ilnesses,98,,,Not sure,97,,
1722699043,__NA__,,,,I trust them mostly but not totally.,03,,,I really don't know. I guess they think it's ok.,97,,
