Respondent,Why didn't get booster,why_not_booster_1,why_not_booster_2,why_not_booster_3,Why public health scientists reliable or unreliable,why_scientists_reliable_unreliable_1,why_scientists_reliable_unreliable_2,why_scientists_reliable_unreliable_3,Why CDC changed recommended isolation period,why_isolation_change_1,why_isolation_change_2,why_isolation_change_3
1722711667,__NA__,,,,All you have to say is Fauci. The man is a shill or has begun to come across as one. Time to get someone we can trust we deserve that. Not someone who wants to be on magazine covers,98,,,Because of pressure due to Biden sagging pills and the “fed up” mentality of many.,06,08,
1722711599,I have had contact with someone with active covid within the last 7 days and was told to reschedule,21,,,There is always a percentage of failure to observe a certain group. Thankfully I am not usually in it,99,,,No idea but after 7 days Covid spread in my home and it was sanitized well,97,,
1722711857,__NA__,,,,I always trust the experts to know more than me in their field,02,,,Due to an increased amount of vacinated people,10,,
1722697609,Because I was sick and my doctor told me to wait before I get my booster,21,,,They have the knowledge of science,02,,,I am not a scientist but it seems that they are trying to make some thing that was working very go to try to do something that I don’t know if they are changing it to fast to understand the outcome,99,01,
1722692201,__NA__,,,,I trust the science behind their determinations.,02,04,,"I think the CDC gave in to the criticism of the ""right"".",08,07,
1721773097,__NA__,,,,Because it’s messy and contradictory. They’re willing to change it as they discover new things,01,03,,Under pressure from airlines and retailers.,05,,
1722713667,"My second dose was in December, so I don't qualify yet. My asthma flared 3 days later and has not subsided sine. I am taking multiple for the first time in years. So I will wait til after my April Dr visit",21,18,,"We are learning more every day. Masks were nor initially deemed necessary. We know better thru research and data. I trust what is thought on a given day, but, we could find out differently and me ready to say. oops, we need to change that",04,,,"Thru data collection and the ongoing scientific process. I alos think pressures from all sides may play a part, I hope not",01,08,06
1722728765,__NA__,,,,I believe the science.,04,,,The CDC gave in to the right-wing conservatives.,06,08,
1722439705,__NA__,,,,I think knowledge still incomplete at this moment. But both doing the best they can given available information.,01,21,11,New data and complaints from businesses,01,05,
1722728725,__NA__,,,,Because they are the scientists. This is their responsibility and specialty,02,03,21,Not sure why but should've kept it to the 10 days isolation,97,,
1722737807,__NA__,,,,Because I trust them.,03,,,Because they are trying to improve their public opinion.,08,,
1722739431,__NA__,,,,theyr trains and trustworthy professionals,02,03,,more facts and data,01,,
1722639551,__NA__,,,,I don't know who to believe or trust,98,,,I don't know,97,,
1722739655,__NA__,,,,they fail to give complete statistical information,10,,,10 days is simply too cautios,09,,
1722740611,__NA__,,,,because what they are saying about nurses giving cpr without ppe is insane,98,,,because the economy can’t afford to shut down,05,,
1722739469,I haven't felt a need for it. I am concerned about side effects from getting numerous boosters.,15,01,,They have been wrong about a lot and I really don't trust anyone at this point.,16,12,,They keep changing their minds so it's just how they do things. God only knows why they do what they do.,04,97,
1722741775,__NA__,,,,they're owned by big pharma,98,,,they knew omicron was unstoppable,98,,
1722749953,__NA__,,,,some of it is beleiveable some i think is bullshit to scare the public into getting a shot,10,,,its different for everyone,99,,
1722752619,__NA__,,,,Because what do they have to gain from misinformation? Now politicians have something to gain misinformation,07,,,Money,05,,
1722752959,Bad reaction to first 2 shots,15,02,,I don't feel we always get the whole truth on matters.,10,,,To better the economy,05,,
1722752693,I have no good excuse I will make the time this week,98,,,Because that's what they do study our health so we don't spread disease I've always kept science out of politics,02,07,,Because they learn more about COVID every day life all disease it changes as long as it's able to spread,01,,
1721959449,__NA__,,,,information is changed as they know more about the virus. there are still unknown outcomes of the virus and vaccines.,04,11,,the virus may only be contagious for a shorter amount of time than what they thought.,01,,
1722752695,__NA__,,,,na,99,,,did not work,98,,
1722761889,__NA__,,,,"I think most information is reliable, but there is so much uncertainty with COVID I believe it's hard for health persons to keep up with accurate info.",04,,,To get people back to work quickly due to too companies struggling with employees out sick.,05,,
1722752105,__NA__,,,,THEY ARE PASSING ON THE LIES OF FAUCI AND DO SO FOR MONETARY GAIN AND THE LOSS OF FREEDOM FOR THE WORLD AND AMERICA TOO,20,,,THEY HAVE BEEN LYING AND PEOPLE ARE SICK OF THIS. THEY ARE LIARS AND TYRANNTS,15,14,
1722765259,__NA__,,,,"I have great trust in science, although not foolproof, I trust the test results",04,,,"more science, more data, more information",01,,
1722774883,__NA__,,,,they cannot disseminate wrong information. everything needs proof or source.,03,05,,based on science,01,,
1722765627,Not within the 6 months I cannot get it b,21,,,Unknown virus. Everyone is still learning about it all. The side effects and treatment,11,,,Realize the actual amount of contagious times,01,,
1722775121,__NA__,,,,Not telling the full information of the virus.,10,,,Hopefully due to the study of infectious people,01,,
1722769681,__NA__,,,,"This is a bio-weapon created by the left wing liberals to depopulate the world so they could develop the toxic experimental drug loaded with spike proteins that break down a person's immune system to and actually has the virus inside the shots. This is not a vaccine to protect anyone but to destroy human population and causes severe side effects like blood clots, heart attacks and heart problems, seizures, Bells Palsy, fibromyalgia and brain disorders. to eventually kill people globally. Wake up folks and smell the cabal's agenda. The patients are dying in hospitals because they're being deprived of hydroxychloroquine and Ivermictin antibiotics to properly treated all patients with covid-19.",20,,,Because they change their minds like a yo yo to confuse the population into believing the lies about covid-19. It's all about controlling the masses.,03,15,
1722577035,__NA__,,,,It often seems to be influenced by economic needs,20,,,Because of pressure from business interests,05,,
1722639131,__NA__,,,,The public health scientists study developments and trends in the virus and make suggestions to the public as to care and treatments.,02,04,21,They changed their recommendations based on the fact that the virus has a very high recovery rate in people without other health conditions.,01,11,
1722784823,__NA__,,,,they are doing the best that they can,01,,,they are learning more about the virus,01,,
1722777079,__NA__,,,,They have no reason to falsify the dangers of the pandemics,03,21,,To preserve health care workers,98,,
1722786083,Wasn't sure about it.,98,,,Can't be too sure if it's true or not.,12,,,Because we have to make sure they don't spread it to others.,98,,
1722786511,I haven’t gotten a booster shot yet because I haven’t really had the time and I’m waiting to see if they change the booster to better guard against the new variants.,16,07,17,"I believe the information is somewhat reliable because I don’t think they can really tell us everything they know, as some of it is not for public consumption.",03,10,,"I think they changed the isolation period in order to keep the economy going, getting people back to work quicker in order to keep the world moving forward.",05,,
1722786873,People are getting really sick afterwards,15,,,If they don’t even know why expose myself,11,,,More people were getting sick,98,,
1722776913,I am not eligible yet,21,,,They are looking out only for the best interest of big pfarma,20,,,They want more people to die,14,,
1722787605,__NA__,,,,they have a track record of making the best information available. It isn't always 100% accurate but it is the best information at the time,05,,,they must have tested and observed subjects,01,,
1722788061,Have to wait 6 months after second dose.,21,,,They are doing the best they can.,01,,,For financial reasons from sports teams.,05,15,
1722784743,waiting to make an appointment for when the weather clears,98,,,not sure if they are honest or not so I assume most are honest,01,,,maybe they did testing on people and found out 5 days is long enough to stay away from others.,01,,
1722787485,__NA__,,,,I’ve researched the people involved and trust what they are telling me,03,02,,"The economy, it’s always comes down to money",05,,
1722787693,__NA__,,,,They have the science to back them up,04,,,To protect everyone and to keep the it contained . Lesson the impact of wide spreade,98,,
1722787983,__NA__,,,,these people study the disease and have fact based opinions,02,04,,tp stop the spread,98,,
1722772261,__NA__,,,,Information is changing constantly,98,,,research - I hope,01,,
1722798021,__NA__,,,,I trust the professionals,02,,,"So we can move through this faster, (ie: get treatments, get back to work/school, not be inconvenienced",98,,
1722798451,__NA__,,,,They are experts,02,,,I do not know,97,,
1722788023,__NA__,,,,"it seems like it is always changing, so you don't know what to believe",13,,,"don't know, it seems they are always changng the rules",97,,
1722806989,__NA__,,,,"They have done alot of research for us, we can do it ourselves but it's better for an expert do it professionally",02,,,It should be longer because viruses are known for staying a while in our bodies,98,,
1722809909,__NA__,,,,Changes all the time. Healthcare in this country is a joke. So terrible.,13,11,,To keep the economy open.,05,,
1722809833,__NA__,,,,Because they work with the government,98,,,Because it was too long,09,,
1722818403,do not feel i need it.,01,,,they have lied,10,16,,more data,01,,
1722819829,__NA__,,,,"They are public health scientists, they are on the forefront of research for these types of situations",02,,,New evidence has shown that the length of time does not need to be that long,01,,
1722596479,__NA__,,,,None,99,,,Don’t know,97,,
1722811123,__NA__,,,,This is where your Doctor gets his info from.,05,,,From data they have collected.,01,,
1722820157,First off I'm not due for one yet and secondly I'm deciding if I really need one as my immune system is quite Superior,21,16,11,I don't think they know everything,11,,,Because the new variants while more contagious are less lethal,02,,
1722819107,__NA__,,,,I don’t think they really know because this all still now new,11,,,Pressure politically,06,08,
1722819745,I don’t feel right about the booster shot.,98,,,I guess the world is going along with it so why don’t I?,03,,,I guess because they know more about Covid than we do.,98,,
1722807857,__NA__,,,,I’m hoping that they are not lying to us,01,,,No idea,97,,
1722827369,__NA__,,,,Because everything changes everyday,13,,,I have no idea and I don't want to give an opinion,97,,
1722829597,__NA__,,,,Idk,99,,,I don't recommend that,99,,
1722829411,"I don't see the point in getting the booster, my family and I just have covid for the second time a few weeks ago and we were all perfectly fine. I don't see the point in putting anything else into my body that is not needed.",12,10,06,I feel that they aren't being truthful with the actual facts about the coronavirus.,10,,,The virus's infection period is shorter now.,01,,
1722804923,__NA__,,,,They back their findings by research and constantly evolve their thinking and recommendations.,02,04,,Economic only,05,,
1722837975,__NA__,,,,It changes too much.,13,,,Because they realize it doesn't work and the public knows it.,01,08,
1722838277,__NA__,,,,Not sure really,99,,,Not sure but I wish it was longer,97,,
1722836929,__NA__,,,,No reason to doubt them,03,,,Better data,01,,
1722847781,__NA__,,,,They are very well informed.,02,,,research showed five days adequate.,01,,
1722848171,__NA__,,,,They are probably as confused as we are,11,,,Not enough people working,05,,
1722848929,__NA__,,,,"Because the head of the CDC basically wrote off disabled people and took down protections too early. What matters more is making money, not safety",20,,,To make the government happy and to have America open for business,06,05,
1722848279,__NA__,,,,they are working hard on this problem,01,,,"finding out that tests show ,one is cleared in 5 days of spreading",01,,
1722848841,__NA__,,,,They are experts and know more than anyone else,02,,,They have learn new information about the virus which caused the policy change,01,,
1722857407,I have waited because it seems like some people who have gotten it are still getting sick,06,16,,I think it could really go either way,98,,,Because of the new variants,02,,
1722857581,__NA__,,,,They're promoting the disease for their own gain.,20,,,They're getting too much pressure for their draconian rules.,99,,
1722857821,__NA__,,,,They make mistakes too!,16,,,So people can go back to work!,08,,
1722866509,__NA__,,,,Because science isn't exact and so much is still unknown,11,,,Because life has to keep moving forward,98,,
1722858407,Cause I got my second shot 3 days ago,21,,,The whole covid thing is being used for anything if you get a cold they say covid,16,11,10,No reason,98,,
1722858613,__NA__,,,,"They're the ones dealing with this on a daily basis, and their collaborative work is reliable",02,03,,Most people probably show symptoms within 5 days of contact with someone positive,98,,
1722868785,__NA__,,,,I have confidence in public health scientists.,03,,,Evidently the CDC must have analyzed finding and made that recommendation.,01,,
1722868897,"I'm not behind. It's only been five months since my second shot, so I don't need the booster for another month.",21,,,"They've put their entire lives into studying these topics, so they should be the one who know the most.",02,,,"I'm not sure. It could be new information, or it could be political or economic pressure.",01,06,05
1722869569,__NA__,,,,their information changes as the virus evolves and they learn more about it. if they never change their recommendations id be worried,02,01,03,pressure from the right to get the country open and moving again,08,,
1722873951,__NA__,,,,"Having taken Public Health courses through Johns Hopkins featuring some of the wotld's most highly trained and regarded scientists and medical practitioners, I TRUST the information presented. I do NOT, hoerver trust nutjobd likr Dr. Oz!",03,04,,Pressure from Republicans and the MAGA yoyos .,08,06,
1722877465,They do not work,06,,,There is too much lying and cheating going on,10,,,Because the CDC people are corrupted and it's all about the money,14,15,
1722849639,Timing,21,,,Education & experience,02,,,Compiled data,01,,
1722889119,I was sick with a cold. Then once I was better I got COVID-19. Now I can schedule it.,21,,,I trust their expertise.,02,,,I assume because people aren't contagious for as long as they originally thought.,01,,
1722858859,__NA__,,,,They keep flip flopping,13,,,Not contagious after 6 days,01,,
1722891857,__NA__,,,,I would hope that they are keeping accurate statistics.,03,04,,It was a compromise to ease production and to facilitate individual needs,05,,
1722919765,__NA__,,,,none,98,,,none,98,,
1722918453,__NA__,,,,smart know what they are doing,02,,,mor epeople vaccinated,10,,
1722169297,__NA__,,,,It's all about the science.,04,,,I don't know. It doesn't make sense to me.,97,,
1722911203,__NA__,,,,I hear a different story every time.,13,,,They are basing their decision off what they are learning over time with the virus because it is so new & still being studied.,01,,
1722920151,I am not getting the booster because it is unnecessary,20,,,I think it is unreliable because it is coming from the mainstream and not from independent sources.,98,,,The CDC cannot force people to quarantine because that is unconstitutional.,98,,
1722920463,__NA__,,,,I still am not sure what is true and what is not,98,,,Because they are not sure themselves and this is only a guessing game,04,,
1722920301,__NA__,,,,They have alot of notable information and valuable research with the growing pandemic,02,,,The skyrocketed number of cases,98,,
1722929265,__NA__,,,,They don't appear to follow the science. They appear to follow Biden/ Fauci,10,20,,Citizens have had enough of the lies and politics,08,14,
1722929115,__NA__,,,,Fauchi can't be trusted. He is a lying control freak. He's been described as both FRAUD-chi and using a combination of his name and Pinocchio. I agree.,98,10,,Because they know the whole thing is a big sham.,15,12,
1722929443,I am not yet eligible for the booster.,21,,,I feel this way because PH scientists are being forced to conform to a specific message in order to keep working.,98,,,The CDC changed its recommended isolation period because too many people were not going to work. Employers were being negatively afftected.,05,,
1722937573,__NA__,,,,They're basing it on science even if the results change over time.,04,01,,to make the economy work better,05,,
1722937975,__NA__,,,,They are educated and extremely knowledgeable when it comes to public health.,02,,,Because vaccines are working,10,,
1722937587,__NA__,,,,They are the experts who have first hand knowledge of the combined reports from all sources.,02,,,I think they went from 14 days to 5 days because they now have a greater understanding of how long after you test positive can you transmit the virus. I think they are also affraid to keep people from work longer then needed.,05,01,
1722937505,__NA__,,,,"They have made studying and practicing science and medicine they're lifes work, with an already existing background on helping the public. They have no agenda this is their job",02,01,21,I think people were not complying so they made it easier to follow,09,,
1722946265,__NA__,,,,I just feel more time and long term studies are needed,11,,,"They change things when it's convenient for them, I dunno",97,14,
1722946341,__NA__,,,,The research they doing is bullshit,12,,,They changed the period Bcs they don’t know what the fuck they are talking about … I mean really they lie about everything so why in the fuck should we trust the “CDC” . Fucking repltelians,04,15,14
1722946863,__NA__,,,,to many condradicting stories,13,,,people once feeling better need to get back to living and working.,05,,
1722954921,__NA__,,,,NEED MORE INFORMATION,98,,,THE VARIANT,02,,
1722954535,I just had covid and received the MAB infusion,21,,,i feel they don't tell us everything,10,,,don't know,97,,
1722946511,__NA__,,,,I trust them,03,,,To lessen the impact on business,05,,
1722955739,"Work a lot, no time to get it",07,,,It’s their job,02,,,I’m not a doctor,97,,
1722955207,CAN'T FIND IT,08,,,TOO MANY TURN AROUNDS,13,,,GOT ME,97,,
1722962115,__NA__,,,,they change the info like you change socks,13,,,they dont know,04,,
1722962159,__NA__,,,,No one really knows this virus,11,,,Not sure,97,,
1722955631,__NA__,,,,It’s all a political agenda,20,,,Politics to save the economy,05,06,
1722962265,Got covid pneumonia just ready to get my booster now covid Dec have to wait,21,,,Idk,99,,,Too long of incubation,98,,
1722955471,__NA__,,,,I just trust our government.,98,,,Because the lesser time seems enough.,01,,
1722963773,__NA__,,,,"Because they are public health, they must speak the message that the government wants. If they had any doubts, they wouldn't speak against anything.",98,10,,Too many people out of work when they may not actually have the virus,05,,
1722970653,I’ve been sick,98,,,I trust what people tell me about my safety,03,,,Things have calmed down in certain places.,13,,
1722964225,__NA__,,,,I think they are somewhat more reliable than many others,03,08,09,They keep changing it is kind of ridiculous I don’t know if they’re changing it in response to the virus variance rotating but it’s absolutely asinine,97,02,04
1722963557,__NA__,,,,"No one can be 100 percent sure, but they have most of the facts and data",02,,,"People are up in arms about staying home, as far as I’m concerned they should have a negative result before returning to work or school",08,,
1722971895,__NA__,,,,"some information seems bias, some information seems limited and everyone reports something different. This makes getting the facts hard and news unreliable",14,06,,They may have more information now than they did before at the start of this pandemic,01,,
1722926245,"I got two vaccinations for the COVID virus, got Covid 4 months ago and I’m still dealing with effects from COVID. Not wasting my time and health for the booster.",05,07,09,I don’t believe all of what they claim.,10,,,Who the Hell really knows,97,,
1722972077,__NA__,,,,"History is short. Officials are doing the best they can to protect the public's health and cover their own ""asses""",99,,,Apparently research showed 10 days in isolation was unnecessary,01,,
1722973083,__NA__,,,,They are getting the information,02,,,More people are vaccinated,10,,
1722980329,__NA__,,,,health care people coming to media is very great and trying to help us,21,,,may be they assumed people are vaccinated and they only need 5 days to recuperate,10,,
1722980211,__NA__,,,,I believe that most scientist are getting thier information only from cdc director or Dr.Fauci I would like to hear from someone else.,98,,,So there wouldnt be long periods of unemployment and can keep kids in school,05,,
1722981675,__NA__,,,,Because I trust that they know what they are talking about and that they are giving correct information to the public,03,01,,I have no idea why they changed this.,97,,
1722988167,I think is only for people with have chronic conditions,01,11,,Is somewhat reliable because I have nonchoive but to trust them,03,06,,I really don't know why but I guess is leas contagious,97,11,
1722989073,I just haven't had the time or energy to go and get it,07,,,I trust them to spread accurate information,03,,,I don't know,97,,
1723001401,__NA__,,,,Not tested enough,98,,,Because covid is more widespread now and omicron is less deadly,97,,
1722997157,I’m on immunosuppressant medications and don’t leave my house aside from doctors visits so I don’t really come in contact with others.,98,,,I think the information is as reliable as it can be with the ever changing variants and changing data.,04,,,They changed it because people are ‘tired’ of COVID and they know most people probably are t following the guidelines anyway so they made it shorter to alleviate some ‘Covid fatigue’.,08,09,
1722997269,__NA__,,,,They are still learning. Science changes. Nature of the game.,04,02,,I’m not a scientist.,97,01,
1723004485,__NA__,,,,Because they are professionals who have studying epidemics. I particularly trust Fauci.,02,,,Because they have studied the science. I trust they are right.,01,,
1723012395,__NA__,,,,I feel like every couple of weeks they are coming out with new information which contradicts what they previously said about Covid,13,,,I feel they changed it because of employers complaining about too many of their employees being out for a long period of time or just being out because they are showing symptoms.,05,,
1723011903,__NA__,,,,I see no reason for them to lie,01,,,People are becoming more immune to the virus,11,13,
1723009789,__NA__,,,,Too many lies. Too many “circle-backs”. Contradictions and blatant lies.,10,13,,Because they cannot show any peer-reviewed documentation to prove their stance. Fauci is on the Pfizer pharmaceuticals teat and he's a miniature megalomaniac and a horrid liar and a creator of disease intended to harm the world's population. Fauci funded GAIN OF FUNCTION RESEARCH AND EXPERIMENTS.,15,14,
1723020107,"I have not felt the Covid pandemic is detrimntally going to affect my health in any way, especially not long term.",11,12,,Public health scientists are communicating facts that they all replicate. It is not an individual but an army of scientists and doctors providing the information.,02,04,,They must have changed it due to the risk of transmitting the disease declines after five days to a safe level.,01,,
1722737199,__NA__,,,,"CDC director is unqualified, Fauci and every one lies constantly. Cloth masks never worked and any medical professional knows this. they lie to the american people almost every day.",11,10,16,"Because Joe Biden is president and they cant have any more bad economy, bad jobs report etc...everything has to stay open and working for biden.",05,06,
1723027701,__NA__,,,,Statements that they have made have been proven to be true.,05,,,I suspect that they are bowing to political pressure rather than following common sense and science.,06,08,
1723035297,Everyone that I do know that has gotten the booster had gotten very I'll.,15,,,It is normal to trust what the government and scientists have to say with what they find,03,,,I'm not sure,97,,
1723027309,__NA__,,,,I strongly agree with the CDC guidelines and that they are trying to help us,21,,,New studies and stuff,01,,
1722749271,__NA__,,,,I oniy trust science.,04,,,No idea.,97,,
1723173981,__NA__,,,,"The public health scientists have studied the virus, know how it is pread and how it is pevented This has helped us to reduce hospitalisation in the last year.",02,05,,I believe this is because of the effectiveness of the Covid 19 vaccine. Less people are being hospitalised even with contacting the virus so there is no need for more quarantining days anymore.,10,,
1723223229,__NA__,,,,it is always changing,13,,,the evolution of the issue,98,,
1723224279,__NA__,,,,Because they study for it,02,,,So people get a good start,98,,
1723238733,__NA__,,,,N/A,99,,,Not sure,97,,
1723231643,"I plan to travel to Europe later in the year. If I get the booster now, by the time I go, the EU might say I need a second booster. I'm healthy and feel the reduced protection from previous vaccinations outweighs the risks of taking 2 more boosters. I also may have had mild covid already, and a recent study shows that provides at least 18 months of immunity.",01,09,,"Fauci admitted to changing targets for herd immunity in order to manipulate public behavior. That is the job of political leaders, not scientists. I've also heard such people advocate for prioritizing treatment by skin color which is both unethical and illegal. The CDC rescinded approval of MCAB claiming they don't work on omicron. That ignores the fact that ~300,000 people have non-omicron variants today. They are denying treatment for no good reason. I have written to the CDC biologics department about this. Their response is complete BS.",19,,,They admitted they didn't think people would keep complying with the 10 day requirement,09,,
1723238989,Because I work in a pharmacy and I would like to get it at my job but they have been so busy I haven’t wanted to add to their work load. I need to make an appointment somewhere else.,99,,,They get paid a lot of money to do it. They are very smart and the best at what they do. They obviously know more than I do.,02,,,"So that more people would comply, also because you are not contagious after five days. People have lives to live, and children and jobs to attend to.",09,05,
1723239419,__NA__,,,,Scientists have the knowledge to do the research,02,,,They have no idea and the virus keeps changing,04,02,
1723115147,__NA__,,,,Fauci lies all the time been proven in the news,10,98,18,politics,08,06,
1723247161,__NA__,,,,I trust the cdc,03,,,Information changes as does science,01,,
1723114755,__NA__,,,,I think they say what they think but I am not positive of that.,01,,,I don't know.,97,,
1723269507,__NA__,,,,Things are always changing. There are things they just do not know.,01,04,,Public and business pressure,08,05,
1722069657,I was waiting to talk to my Dr. about it to see if my current medications would affect me getting the booster shot.,18,,,Theyre so many factors to consider. Public Health Scientists are the only people that know what this virus is capable of.,02,,,I think the CDC is trying to assure the American people that Covid 19 will end soon.,03,,
1723279369,__NA__,,,,The government has a way to not tell the public any truth that is potentially destructive or harmful in any manner.,10,,,"I really don't know , but I wouldn't recommend it.",97,,
1723280681,__NA__,,,,That bis their jib as a professional to give honesty and logical information,01,,,10 days is too much time for most people have to work and live,09,,
1723287059,__NA__,,,,I’m a public health scientist and I am following the research through trusted sources such as the CDC website that is reporting trends.,04,02,,Following the science allows us to better understand how a health threat is acting and thereby alter practices.,01,,
1723280987,The original shots didn't do the full job. Now we do the same thing and expect different results!?!,06,,,"Politics, for one. Control. Ignorance of the effects of covid, and what to do about it.",20,11,19,Politics mostly,06,,
1723291563,__NA__,,,,I trust scientists more than media.,09,,,Because their idiots.,04,,
1723129929,__NA__,,,,"Dr. Fauci has lied about the vaccines and masks I don't trust in anything he says, especially when he said in 2021 that in 6 weeks the virus would be less",16,10,,I don't know why CDC changed the recommended isolation period all I can say because of natural immunity,97,,
1723286573,__NA__,,,,Yes I can. This is an ever-changing virus and you can only count on what data is available at the time. I believe public health scientists give you the most reliable information based on the data they have at any given time.,04,01,,They have been able to gather more data to better assess the situation at that specific time.,01,,
1723301197,Didn't want to get another shot,98,,,I would think it be be trustworthy coming from my Dr.,99,,,Because 10 is too long,09,,
1723301727,__NA__,,,,they are educated and offer advice based on facts,02,01,,based on data,01,,
1723301859,__NA__,,,,"I am very disappointed in our public health officials as they have often given conflicting advice, precautions and ""facts"".",13,,,It's all so arbitrary and not based on science. Tell be why it's 5 days and not ten or twenty? Do masks work? The various mask rules are crazy! The plastic barriers erected are foolish.,04,,
1723301865,I a just waiting for the weather to improve since I do not drive and will have to take a short walk to get there,98,,,THEY are saying as much they can but nobody knows everything,21,,,it most likely figured that a shorter time was just as effective,09,01,
1723308077,__NA__,,,,i think they try to tell people the truth,01,,,i think if you have to isolate for 5 days you should know yourself if the systems are getting better or not .,98,,
